id,institucion,poblacion,edad
META,
META.IE JORGE ELIECER GAITAN,
META.IE JORGE ELIECER GAITAN.DESPLAZADOS,
META.IE JORGE ELIECER GAITAN.DESPLAZADOS,12
META.IE JORGE ELIECER GAITAN.DESPLAZADOS,11
META.IE JORGE ELIECER GAITAN,
META.IE JORGE ELIECER GAITAN.SISBEN,
META.IE JORGE ELIECER GAITAN.SISBEN,16
META.IE JORGE ELIECER GAITAN.SISBEN,15
META.IE JORGE ELIECER GAITAN.SISBEN,13
META.CE GUACAMAYAS,
META.CE GUACAMAYAS.SISBEN
META.CE GUACAMAYAS.SISBEN,7
META.IE JORGE ELIECER GAITAN,
META.IE JORGE ELIECER GAITAN.DESPLAZADOS,
META.IE JORGE ELIECER GAITAN.DESPLAZADOS,13
META.IE JORGE ELIECER GAITAN,
META.IE JORGE ELIECER GAITAN.SISBEN,
META.IE JORGE ELIECER GAITAN.SISBEN,6
